Year,State,FIPS,Case_status,Sex,Age_cat_yrs,Frequency
1992,AL,Suppressed,Confirmed,Suppressed,Suppressed,7
1992,AR,05119,Confirmed,Suppressed,Suppressed,6
1992,AR,Suppressed,Confirmed,Suppressed,Suppressed,14
1992,CA,06021,Confirmed,Suppressed,Suppressed,5
1992,CA,06023,Confirmed,Male,20+,8
1992,CA,06023,Confirmed,Male,Suppressed,2
1992,CA,06023,Confirmed,Female,20+,6
1992,CA,06023,Confirmed,Female,Suppressed,1
1992,CA,06033,Confirmed,Suppressed,Suppressed,7
1992,CA,06037,Confirmed,Female,20+,7
1992,CA,06037,Confirmed,Suppressed,Suppressed,1
1992,CA,06041,Confirmed,Suppressed,Suppressed,6
1992,CA,06045,Confirmed,Male,0-19,5
1992,CA,06045,Confirmed,Male,20+,9
1992,CA,06045,Confirmed,Female,20+,14
1992,CA,06045,Confirmed,Female,Suppressed,4
1992,CA,06059,Confirmed,Suppressed,Suppressed,5
1992,CA,06071,Confirmed,Female,20+,6
1992,CA,06071,Confirmed,Female,Suppressed,1
1992,CA,06073,Confirmed,Suppressed,Suppressed,5
1992,CA,06085,Confirmed,Suppressed,Suppressed,6
1992,CA,06089,Confirmed,Suppressed,Suppressed,6
1992,CA,06097,Confirmed,Male,20+,17
1992,CA,06097,Confirmed,Male,Suppressed,5
1992,CA,06097,Confirmed,Female,0-19,6
1992,CA,06097,Confirmed,Female,20+,11
1992,CA,06105,Confirmed,Male,20+,10
1992,CA,06105,Confirmed,Male,Suppressed,2
1992,CA,06105,Confirmed,Female,20+,18
1992,CA,06105,Confirmed,Female,Suppressed,3
1992,CA,Suppressed,Confirmed,Male,0-19,5
1992,CA,Suppressed,Confirmed,Female,20+,16
1992,CA,Suppressed,Confirmed,Suppressed,Suppressed,34
1992,CT,09001,Confirmed,Male,0-19,60
1992,CT,09001,Confirmed,Male,20+,133
1992,CT,09001,Confirmed,Male,Suppressed,1
1992,CT,09001,Confirmed,Female,0-19,39
1992,CT,09001,Confirmed,Female,20+,109
1992,CT,09001,Confirmed,Female,Unknown,5
1992,CT,09003,Confirmed,Male,0-19,13
1992,CT,09003,Confirmed,Male,20+,18
1992,CT,09003,Confirmed,Female,0-19,11
1992,CT,09003,Confirmed,Female,20+,29
1992,CT,09003,Confirmed,Female,Suppressed,2
1992,CT,09005,Confirmed,Male,20+,5
1992,CT,09005,Confirmed,Male,Suppressed,3
1992,CT,09005,Confirmed,Female,20+,12
1992,CT,09005,Confirmed,Female,Suppressed,3
1992,CT,09007,Confirmed,Male,0-19,52
1992,CT,09007,Confirmed,Male,20+,144
1992,CT,09007,Confirmed,Male,Unknown,8
1992,CT,09007,Confirmed,Female,0-19,42
1992,CT,09007,Confirmed,Female,20+,129
1992,CT,09007,Confirmed,Female,Suppressed,4
1992,CT,09009,Confirmed,Male,0-19,38
1992,CT,09009,Confirmed,Male,20+,80
1992,CT,09009,Confirmed,Male,Unknown,5
1992,CT,09009,Confirmed,Female,0-19,31
1992,CT,09009,Confirmed,Female,20+,61
1992,CT,09009,Confirmed,Female,Suppressed,2
1992,CT,09011,Confirmed,Male,0-19,103
1992,CT,09011,Confirmed,Male,20+,141
1992,CT,09011,Confirmed,Male,Suppressed,2
1992,CT,09011,Confirmed,Female,0-19,66
