Year,State,FIPS,Case_status,Sex,Age_cat_yrs,Frequency
2022,AK,Suppressed,Confirmed,Suppressed,20+,2
2022,AK,Suppressed,Probable,Suppressed,20+,3
2022,AL,Suppressed,Confirmed,Male,20+,5
2022,AL,Suppressed,Confirmed,Suppressed,Suppressed,9
2022,AL,Suppressed,Probable,Male,20+,3
2022,AL,Suppressed,Probable,Suppressed,Suppressed,13
2022,AZ,Suppressed,Confirmed,Suppressed,Suppressed,8
2022,AZ,Suppressed,Probable,Suppressed,Suppressed,1
2022,CA,06037,Confirmed,Suppressed,Suppressed,4
2022,CA,06037,Probable,Suppressed,Suppressed,1
2022,CA,06045,Confirmed,Suppressed,Suppressed,2
2022,CA,06045,Probable,Suppressed,Suppressed,3
2022,CA,06097,Confirmed,Suppressed,Suppressed,4
2022,CA,06097,Probable,Suppressed,Suppressed,1
2022,CA,Suppressed,Confirmed,Male,20+,5
2022,CA,Suppressed,Confirmed,Suppressed,20+,6
2022,CA,Suppressed,Confirmed,Suppressed,Suppressed,31
2022,CA,Suppressed,Probable,Male,20+,2
2022,CA,Suppressed,Probable,Suppressed,20+,7
2022,CA,Suppressed,Probable,Suppressed,Suppressed,11
2022,CO,Suppressed,Confirmed,Male,Suppressed,5
2022,CO,Suppressed,Probable,Male,Suppressed,2
2022,CT,09001,Probable,Male,0-19,54
2022,CT,09001,Probable,Male,20+,238
2022,CT,09001,Probable,Female,0-19,40
2022,CT,09001,Probable,Female,20+,171
2022,CT,09003,Probable,Male,0-19,16
2022,CT,09003,Probable,Male,20+,123
2022,CT,09003,Probable,Female,0-19,13
2022,CT,09003,Probable,Female,20+,66
2022,CT,09005,Probable,Male,0-19,14
2022,CT,09005,Probable,Male,20+,128
2022,CT,09005,Probable,Female,0-19,14
2022,CT,09005,Probable,Female,20+,79
2022,CT,09007,Probable,Male,0-19,8
2022,CT,09007,Probable,Male,20+,57
2022,CT,09007,Probable,Female,20+,44
2022,CT,09007,Probable,Female,Suppressed,4
2022,CT,09009,Probable,Male,0-19,31
2022,CT,09009,Probable,Male,20+,157
2022,CT,09009,Probable,Female,0-19,24
2022,CT,09009,Probable,Female,20+,122
2022,CT,09011,Probable,Male,0-19,21
2022,CT,09011,Probable,Male,20+,170
2022,CT,09011,Probable,Female,0-19,19
2022,CT,09011,Probable,Female,20+,132
2022,CT,09013,Probable,Male,0-19,12
2022,CT,09013,Probable,Male,20+,56
2022,CT,09013,Probable,Female,0-19,6
2022,CT,09013,Probable,Female,20+,62
2022,CT,09015,Probable,Male,0-19,11
2022,CT,09015,Probable,Male,20+,70
2022,CT,09015,Probable,Female,0-19,7
2022,CT,09015,Probable,Female,20+,50
2022,CT,Suppressed,Probable,Female,20+,2
2022,CT,Suppressed,Probable,Suppressed,20+,1
2022,DC,11001,Probable,Male,0-19,5
2022,DC,11001,Probable,Male,20+,39
2022,DC,11001,Probable,Female,20+,26
2022,DC,11001,Probable,Female,Suppressed,3
2022,DC,Suppressed,Probable,Male,20+,3
2022,DC,Suppressed,Probable,Suppressed,20+,1
2022,DE,10001,Probable,Unknown,20+,42
2022,DE,10001,Probable,Unknown,Suppressed,3
2022,DE,10003,Probable,Unknown,0-19,35
2022,DE,10003,Probable,Unknown,20+,144
2022,DE,10003,Probable,Suppressed,20+,5
2022,DE,10005,Probable,Unknown,20+,41
2022,DE,10005,Probable,Unknown,Suppressed,4
2022,DE,10005,Probable,Suppressed,20+,2
2022,DE,Unknown,Probable,Unknown,20+,18
2022,DE,Unknown,Probable,Unknown,Suppressed,4
2022,FL,12009,Confirmed,Female,Suppressed,3
2022,FL,12009,Probable,Female,Suppressed,2
2022,FL,12015,Confirmed,Suppressed,20+,2
2022,FL,12015,Probable,Suppressed,20+,4
2022,FL,12069,Confirmed,Female,20+,3
2022,FL,12069,Confirmed,Suppressed,20+,1
2022,FL,12069,Probable,Female,20+,5
2022,FL,12069,Probable,Suppressed,20+,1
2022,FL,12069,Probable,Suppressed,Suppressed,1
2022,FL,12071,Confirmed,Male,20+,6
2022,FL,12071,Confirmed,Female,20+,3
2022,FL,12071,Probable,Male,20+,1
2022,FL,12071,Probable,Female,20+,2
2022,FL,12081,Confirmed,Suppressed,20+,2
2022,FL,12081,Probable,Suppressed,20+,4
2022,FL,12085,Confirmed,Male,20+,2
2022,FL,12085,Probable,Male,20+,3
2022,FL,12085,Probable,Suppressed,20+,1
2022,FL,12086,Confirmed,Male,20+,4
2022,FL,12086,Confirmed,Male,Suppressed,2
2022,FL,12086,Confirmed,Female,20+,2
2022,FL,12086,Confirmed,Female,Suppressed,1
2022,FL,12086,Probable,Male,20+,3
2022,FL,12086,Probable,Female,20+,4
2022,FL,12095,Confirmed,Suppressed,20+,3
2022,FL,12095,Probable,Suppressed,20+,3
2022,FL,12099,Confirmed,Male,20+,8
2022,FL,12099,Confirmed,Male,Suppressed,1
2022,FL,12099,Confirmed,Female,20+,7
2022,FL,12099,Confirmed,Female,Suppressed,1
2022,FL,12099,Probable,Male,20+,12
2022,FL,12099,Probable,Female,20+,15
2022,FL,12099,Probable,Female,Suppressed,3
2022,FL,12101,Confirmed,Suppressed,20+,5
2022,FL,12101,Probable,Suppressed,20+,1
2022,FL,12103,Confirmed,Male,20+,1
2022,FL,12103,Probable,Male,20+,6
2022,FL,12103,Probable,Male,Suppressed,3
2022,FL,12103,Probable,Suppressed,20+,1
2022,FL,12111,Confirmed,Male,20+,3
2022,FL,12111,Confirmed,Suppressed,20+,1
2022,FL,12111,Probable,Male,20+,4
2022,FL,12111,Probable,Suppressed,20+,2
2022,FL,12115,Confirmed,Male,20+,1
2022,FL,12115,Confirmed,Suppressed,20+,2
2022,FL,12115,Confirmed,Suppressed,Suppressed,1
2022,FL,12115,Probable,Male,20+,4
2022,FL,12115,Probable,Suppressed,20+,2
2022,FL,12115,Probable,Suppressed,Suppressed,1
2022,FL,12127,Confirmed,Female,20+,3
2022,FL,12127,Probable,Female,20+,3
2022,FL,12127,Probable,Suppressed,20+,1
2022,FL,Suppressed,Confirmed,Female,20+,11
2022,FL,Suppressed,Confirmed,Female,Suppressed,1
2022,FL,Suppressed,Confirmed,Suppressed,20+,18
