search_id,catalog_slug,status,http_status,record_count,total_count,duration_ms,json_path,markdown_path,raw_path
ACS-0001,census_acs5,succeeded,200,100,3222,1614,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0001_total-population\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0001_total-population\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0001_total-population\raw\page_0001.json
ACS-0002,census_acs5,succeeded,200,100,3222,7176,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0002_age-distribution\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0002_age-distribution\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0002_age-distribution\raw\page_0001.json
ACS-0003,census_acs5,succeeded,200,100,3222,8087,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0003_poverty-status\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0003_poverty-status\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0003_poverty-status\raw\page_0001.json
ACS-0004,census_acs5,succeeded,200,100,3222,1421,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0004_median-household-income\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0004_median-household-income\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0004_median-household-income\raw\page_0001.json
ACS-0005,census_acs5,succeeded,200,100,3222,7828,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0005_health-insurance-coverage\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0005_health-insurance-coverage\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0005_health-insurance-coverage\raw\page_0001.json
ACS-0006,census_acs5,succeeded,200,100,3222,3378,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0006_disability-status\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0006_disability-status\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0006_disability-status\raw\page_0001.json
ACS-0007,census_acs5,succeeded,200,100,3222,3007,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0007_internet-subscription\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0007_internet-subscription\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0007_internet-subscription\raw\page_0001.json
ACS-0008,census_acs5,succeeded,200,100,3222,2699,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0008_computer-availability\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0008_computer-availability\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0008_computer-availability\raw\page_0001.json
ACS-0009,census_acs5,succeeded,200,100,3222,4841,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0009_vehicle-availability\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0009_vehicle-availability\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0009_vehicle-availability\raw\page_0001.json
ACS-0010,census_acs5,succeeded,200,100,3222,3719,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0010_means-of-transportation-to-work\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0010_means-of-transportation-to-work\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0010_means-of-transportation-to-work\raw\page_0001.json
ACS-0011,census_acs5,succeeded,200,100,3222,3992,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0011_educational-attainment\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0011_educational-attainment\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0011_educational-attainment\raw\page_0001.json
ACS-0012,census_acs5,succeeded,200,100,3222,2777,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0012_limited-english-speaking-households\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0012_limited-english-speaking-households\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0012_limited-english-speaking-households\raw\page_0001.json
ACS-0013,census_acs5,succeeded,200,100,3222,11307,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0013_migration-in-previous-year\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0013_migration-in-previous-year\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0013_migration-in-previous-year\raw\page_0001.json
ACS-0014,census_acs5,succeeded,200,100,3222,2139,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0014_employment-status\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0014_employment-status\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0014_employment-status\raw\page_0001.json
ACS-0015,census_acs5,succeeded,200,100,3222,1436,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0015_rural-proxy-housing-and-density-variables\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0015_rural-proxy-housing-and-density-variables\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0015_rural-proxy-housing-and-density-variables\raw\page_0001.json
ACS-0016,census_acs5,succeeded,200,100,3222,1300,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0016_population-by-county-for-joins\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0016_population-by-county-for-joins\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\census_acs5\ACS-0016_population-by-county-for-joins\raw\page_0001.json
AHRQ-0001,ahrq,succeeded,200,0,,1023,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0001_lyme-disease-healthcare-expenditures\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0001_lyme-disease-healthcare-expenditures\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0001_lyme-disease-healthcare-expenditures\raw\page_0001.html
AHRQ-0002,ahrq,succeeded,200,0,,1235,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0002_tickborne-disease-utilization\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0002_tickborne-disease-utilization\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0002_tickborne-disease-utilization\raw\page_0001.html
AHRQ-0003,ahrq,succeeded,200,0,,1212,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0003_infectious-disease-access-to-care\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0003_infectious-disease-access-to-care\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0003_infectious-disease-access-to-care\raw\page_0001.html
AHRQ-0004,ahrq,succeeded,200,0,,1178,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0004_rural-healthcare-access\json\page_0001.json,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0004_rural-healthcare-access\notes\query.md,runs\2026-06-07_18-02-40_MDT\catalogs\ahrq\AHRQ-0004_rural-healthcare-access\raw\page_0001.html
